 0番目の染色体：1011111011
 1番目の染色体：0100011001
 2番目の染色体：1011001111
 3番目の染色体：1110010011
 4番目の染色体：1101110010
 5番目の染色体：0001101000
 6番目の染色体：0111100101
 7番目の染色体：1101000001
 8番目の染色体：0000110000
 9番目の染色体：1010110000
#generation 50, elite rate 0.000000, mutation rate 0.500000
#generation,best fitness,average,0,1,2,3,4,5,6,7,8,9,
0 max,137,   1,   1,   1,   1,   1,  97,   1, 137,  80, 115,
1 max,175, 175,   1,  22,   1,   1,   1,   1, 160,   1,   1,
2 max,130, 130,   5,   1,   1,   1,   1, 117,  77,   1,   1,
3 max,195,   1,   1,   1,   1,   1, 195,   1,   1,   1, 145,
4 max,162, 162,   1,   1,   1,   1,   1,  95,   1,   1, 157,
5 max,170, 110,   1, 170,   1,   1,  97, 122,   1,   1,   1,
6 max,210,   1,   1,   1, 165,   1, 210,   1,  25,   1, 205,
7 max,135, 135,   1,   1, 122, 105,  60,   1,   1, 100, 107,
8 max,175,   1,   1,   1,   1,   1,   1,   1,   1,  77, 175,
9 max,192,   1,   1,  95,   1, 140,   1, 145,   1, 192,   1,
10 max,187,   1, 120,   1,   1,   1, 177,   1, 140, 187, 170,
11 max,202,   1, 187, 202,   1,   1,   1,  30,   1,   1, 110,
12 max,240,   1,   1, 190, 105, 210, 240, 145,   1, 185,   1,
13 max,177, 177,   1,   1,   1, 132,   1,  60,   1,   1, 132,
14 max,205,   1,   1,   1, 165,   1,  40, 205,   1, 130, 180,
15 max,185, 185,   1, 145,   1, 162,   1,   1, 132, 180,   1,
16 max,180, 180,   1,   1, 127,   1, 135,   1,  77,   1,   1,
17 max,180,   1,  67, 137,   1,   1,   1, 180,   1, 180,   1,
18 max,182, 182, 142,  70, 180, 155, 145,  80,   1, 127,   1,
19 max,205, 115,   1, 120,   1,   1, 142, 152,   1,   1, 205,
20 max,157,   1,   1,   1,   1,   1,   1, 105, 157,  90,   1,
21 max,165, 147, 165, 122,   1,   1, 140, 110,   1, 132, 162,
22 max,180, 132, 105, 140,   1, 180,   1,  82,  70, 175, 155,
23 max,195, 127,   1, 175, 115,   1, 160,   1, 195, 177,  55,
24 max,180, 120,  92,   1,   1, 180,   1, 147,   1,  95,   1,
25 max,205, 127,   1,   1, 160, 205,  40,   1,   1,   1,   1,
26 max,190,  92,   1,   1, 147,  30, 157, 190,   1,   1,  90,
27 max,162,  35, 112,   1,  62,   1, 162,  47,  55,   1,   1,
28 max,192,  62,   1,   1, 165, 192,   1,   1,   1,   1,   1,
29 max,210,   1,   1, 210,   1,   1,   1,   1,   1,  95,   1,
30 max,202, 147, 202,  95,   1,   1,   1,  35,  40,   1,   1,
31 max,207,   1, 125,   1, 207, 140, 117, 110, 147, 120,   1,
32 max,192, 147, 100,   1, 177, 192,   1,   1,   1,   1,   1,
33 max,210,   1, 210,   1,   1,   1,   1, 105, 177,   1,   1,
34 max,215,   1,   1, 215, 112, 175,   1,   1,   1, 135, 197,
35 max,142,   1,   1, 142, 107,   1, 102, 137,   1,   1,   1,
36 max,180,   1, 170,   1,   1,   1, 122,   1,   1, 122, 180,
37 max,160,   1,   1,   1,   1,   1,   1, 160,  77,   1, 115,
38 max,215,   1,   1, 170, 170,   1,   1, 215,   1,   1,   1,
39 max,177,  77, 167, 177,   1, 115,   1,   1, 115, 145,   1,
40 max,225, 127, 180,   1,   1,   1, 180,   1, 110, 107, 225,
41 max,180, 105,   1, 180,   1, 150,   1, 122,   1,   1, 152,
42 max,142,   1,   1,   1,   1, 102,   1,   1,   1, 100, 142,
43 max,175, 175,   1,   1,  70,  55, 145,   1, 100,   1,   1,
44 max,197,   1, 147,   1,   1,   1,   1,   1, 197, 125,  95,
45 max,190,   1,   1,   1,   1, 152, 107, 190, 132,   1,   1,
46 max,200,   1,   1,   1,   1,   1,   1, 200,   1,   1, 100,
47 max,167,   1,   1, 127,  32, 135,   1, 167,   1,   1,   1,
48 max,210,   1,   1,   1, 165, 210, 180, 157,   1,   1,   1,
49 max,150,   1,   1,   1,   1,   1,   1,  30,   1, 150,   1,
 0 chromosome,1110100000,120
 1 chromosome,1110111011,1
 2 chromosome,1000101011,140
 3 chromosome,1001101100,167
 4 chromosome,0000100010,35
 5 chromosome,0111101111,1
 6 chromosome,1011110101,1
 7 chromosome,1110100000,120
 8 chromosome,1011011000,1
 9 chromosome,0111010010,1
